id,name,comment,time
889,Goh K Jian,But it's still can't use at 7-11 or other convenience stores.Currently supported merchants is still not for everyone's daily or weekly life. But it's still can't use at 7-11 or other convenience stores.Currently supported merchants is still not for everyone's daily or weekly life. But it's still can't use at 7-11 or other convenience stores. Currently supported merchants is still not for everyone's daily or weekly life. · Like · ·,2018-06-26T07:10:58Z
890,Grab,"Author  Hi Goh K Jian, Thank you for your interest in going cashless! :) We will be expanding soon to more merchants so do stay tune. …See more Hi Goh K Jian, Thank you for your interest in going cashless! :) We will be expanding soon to more merchants so do stay tune. …See more Hi Goh K Jian, Thank you for your interest in going cashless! :) We will be expanding soon to more merchants so do stay tune. Hi , Thank you for your interest in going cashless! :) We will be expanding soon to more merchants so do stay tune. :) :) … GrabPay Merchants | Grab MY  · Like · ·",2018-06-26T10:16:38Z
891,Nurul Syuhada Iking,Boleh saya tahu kenapa ke KLIA dalam apps tulis RM65 tp bila dah smpi kena bayar rm70 lebih dekat driver? Boleh saya tahu kenapa ke KLIA dalam apps tulis RM65 tp bila dah smpi kena bayar rm70 lebih dekat driver? Boleh saya tahu kenapa ke KLIA dalam apps tulis RM65 tp bila dah smpi kena bayar rm70 lebih dekat driver? · Like · ·,2018-06-26T05:56:16Z
892,Grab,"Author  Hi Nurul Syuhada, we're truly sorry about that. Could PM us the relevant booking ID along with your contact number for us to check further? Hi Nurul Syuhada, we're truly sorry about that. Could PM us the relevant booking ID along with your contact number for us to check further? Hi Nurul Syuhada, we're truly sorry about that. Could PM us the relevant booking ID along with your contact number for us to check further? · Like · ·",2018-06-26T05:58:30Z
893,Azlan Abdullah,Tol kot? Tol kot? Tol kot? · Like · ·,2018-06-26T06:19:40Z
894,Nurul Syuhada Iking,Ohh ok. Tol mmg penumpang bayar ya? Ohh ok. Tol mmg penumpang bayar ya? Ohh ok. Tol mmg penumpang bayar ya? · Like · ·,2018-06-26T06:21:28Z
895,Grab,"Author  Yes, all toll charges are to be borne by the passenger as the price shown is Grab Application is base fare only. Thank you. Yes, all toll charges are to be borne by the passenger as the price shown is Grab Application is base fare only. Thank you. Yes, all toll charges are to be borne by the passenger as the price shown is Grab Application is base fare only. Thank you. 2 2  2 · Like · ·",2018-06-26T06:24:31Z
896,Kavis Ng,"Tol memang penumpang bayar, betul. Kalau uber dah charge sekali Tol memang penumpang bayar, betul. Kalau uber dah charge sekali Tol memang penumpang bayar, betul. Kalau uber dah charge sekali · Like · ·",2018-06-26T06:24:46Z
897,Azlan Abdullah,Yup penumpang yg akan bayar tol. Masuk fare terus. Yup penumpang yg akan bayar tol. Masuk fare terus. Yup penumpang yg akan bayar tol. Masuk fare terus. 1 1  1 · Like · ·,2018-06-26T06:25:19Z
898,Nurul Syuhada Iking,Kavis Ng ok thank you.. baru faham. Sbb dah biasa guna uber sebelum ni. Saya baru guna grab 2 kali haahah tekejut sbb uber dulu semua dalam apps. Kavis Ng ok thank you.. baru faham. Sbb dah biasa guna uber sebelum ni. Saya baru guna grab 2 kali haahah tekejut sbb uber dulu semua dalam apps. Kavis Ng ok thank you.. baru faham. Sbb dah biasa guna uber sebelum ni. Saya baru guna grab 2 kali haahah tekejut sbb uber dulu semua dalam apps. · Like · ·,2018-06-26T06:25:59Z
899,Nurul Syuhada Iking,Azlan Abdullah ok faham. Thank you :) Azlan Abdullah ok faham. Thank you :) ok faham. Thank you :) :) :) · Like · ·,2018-06-26T06:26:51Z
900,Nurul Syuhada Iking,Grab ok thanks for the info. Grab ok thanks for the info. ok thanks for the info. · Like · ·,2018-06-26T06:27:25Z
901,Nini Othman,guna mycar jela lps ni guna mycar jela lps ni guna mycar jela lps ni · Like · ·,2018-06-26T08:38:02Z
902,Ibrahim Abdul,Kah kah kah Kah kah kah Kah kah kah · Like · ·,2018-06-26T09:23:24Z
903,Hissham Sanot,Kesian. Staff Grab tak tahu apa yang berlaku. Kesian. Staff Grab tak tahu apa yang berlaku. Kesian. Staff Grab tak tahu apa yang berlaku. · Like · ·,2018-06-26T09:35:00Z
904,Ahmad Ashraf,"Grab staff. Please study the FAQ's and think two three lines deeper for every question.One more, do not directly blame the driver for every disputes arises. Please please make up your perception. Grab staff. Please study the FAQ's and think two three lines deeper for every question.One more, do not directly blame the driver for every disputes arises. Please please make up your perception. Grab staff. Please study the FAQ's and think two three lines deeper for every question. One more, do not directly blame the driver for every disputes arises. Please please make up your perception. 5 5  5 · Like · ·",2018-06-26T09:53:34Z
905,Nurul Syuhada Iking,Rindu uber....sob..sob.. Rindu uber....sob..sob.. Rindu uber....sob..sob.. 1 1  1 · Like · ·,2018-06-26T11:55:48Z
906,Miki Teng,"Kalau x mau bayar tol, kena pakai jln lama x da tol. Lambat sampai nanti! Kalau x mau bayar tol, kena pakai jln lama x da tol. Lambat sampai nanti! Kalau x mau bayar tol, kena pakai jln lama x da tol. Lambat sampai nanti! · Like · ·",2018-06-26T14:00:49Z
907,Nurul Syuhada Iking,Miki Teng siapa yg tak nak bayar tol tu? Miki Teng siapa yg tak nak bayar tol tu? Miki Teng siapa yg tak nak bayar tol tu? · Like · ·,2018-06-26T14:10:37Z
908,Hamim Zuhaier,Bangang punya Grab. Terus assume je rider konpem btol driver konpem salah. Terang lg bersuluh. Rider is king. Equality kepala bapak kau. Kau sendiri kantoikan diri sendiri. Bangang punya Grab. Terus assume je rider konpem btol driver konpem salah. Terang lg bersuluh. Rider is king. Equality kepala bapak kau. Kau sendiri kantoikan diri sendiri. Bangang punya Grab. Terus assume je rider konpem btol driver konpem salah. Terang lg bersuluh. Rider is king. Equality kepala bapak kau. Kau sendiri kantoikan diri sendiri. 2 2  2 · Like · ·,2018-06-27T01:29:57Z
909,Nurul Syuhada Iking,Hamim Zuhaier sabo.. sabo..hehee saya yg tak faham sebenarnya. Sbb baru 2kali guna grab. :D :D ... Hamim Zuhaier sabo.. sabo..hehee saya yg tak faham sebenarnya. Sbb baru 2kali guna grab. :D :D ... Hamim Zuhaier sabo.. sabo..hehee saya yg tak faham sebenarnya. Sbb baru 2kali guna grab. :D :D ... :D :D :D :D · Like · ·,2018-06-27T01:53:34Z
910,Jonaidi Omar,Staf grab mcm kerbau di cucup hidung Staf grab mcm kerbau di cucup hidung Staf grab mcm kerbau di cucup hidung · Like · ·,2018-06-27T02:55:22Z
911,Hasriyanie Syarifuddin,Uber dah bengkrap seb melayan penumpang2 yg nak jalan jauh tapi bayar murah..kenapa? Dia bengkrap..seb tak dah untung..kesian😐 Uber dah bengkrap seb melayan penumpang2 yg nak jalan jauh tapi bayar murah..kenapa? Dia bengkrap..seb tak dah untung..kesian😐 Uber dah bengkrap seb melayan penumpang2 yg nak jalan jauh tapi bayar murah..kenapa? Dia bengkrap..seb tak dah untung..kesian😐 😐 😐 · Like · ·,2018-06-27T12:26:36Z
912,Hasriyanie Syarifuddin,"Grab pulak..walaupun drive untung cukup2 makan tapi membantu orang2 yg tak dah kerja..dari diorng mengganggur baik diorang kerja walaupon untung kecik..tak dah lah diorng nak minta dgn mak bapa je atau berhutang sana sini, beniaga pon sama juga..untung kurang lebih juga,nak bayar pekerja,nak bayar hutang,nak bayr sewa kedai..semua sama je..rezeki masing2 usaha lebih inshaAllah dpat lebih.. Grab pulak..walaupun drive untung cukup2 makan tapi membantu orang2 yg tak dah kerja..dari diorng mengganggur baik diorang kerja walaupon untung kecik..tak dah lah diorng nak minta dgn mak bapa je atau berhutang sana sini, beniaga pon sama juga..untung kurang lebih juga,nak bayar pekerja,nak bayar hutang,nak bayr sewa kedai..semua sama je..rezeki masing2 usaha lebih inshaAllah dpat lebih.. Grab pulak..walaupun drive untung cukup2 makan tapi membantu orang2 yg tak dah kerja..dari diorng mengganggur baik diorang kerja walaupon untung kecik..tak dah lah diorng nak minta dgn mak bapa je atau berhutang sana sini, beniaga pon sama juga..untung kurang lebih juga,nak bayar pekerja,nak bayar hutang,nak bayr sewa kedai..semua sama je..rezeki masing2 usaha lebih inshaAllah dpat lebih.. · Like · ·",2018-06-27T12:30:30Z
913,SheanYi Brian,Up Up Up · Like · ·,2018-06-26T05:57:09Z
914,Hussain Ahmad,tol penumpang kena bayr ...his....... tol penumpang kena bayr ...his....... tol penumpang kena bayr ...his....... · Like · ·,2018-06-27T12:32:42Z
915,Rhaimy,"This is useles i can say BODOH, coz GRAB Alwiz thinks for profit. No need top up ststem dear Ass Hole grab. Just use grab pay via debit and credit card. this more secure coz genuine riders will have security bank ac and details.With this top up syste…See more This is useles i can say BODOH, coz GRAB Alwiz thinks for profit. No need top up ststem dear Ass Hole grab. Just use grab pay via debit and credit card. this more secure coz genuine riders will have security bank ac and details.With this top up syste…See more This is useles i can say BODOH, coz GRAB Alwiz thinks for profit. No need top up ststem dear Ass Hole grab. Just use grab pay via debit and credit card. this more secure coz genuine riders will have security bank ac and details.With this top up syste This is useles i can say BODOH, coz GRAB Alwiz thinks for profit. No need top up ststem dear Ass Hole grab. Just use grab pay via debit and credit card. this more secure coz genuine riders will have security bank ac and details. With this top up syste … · Like · ·",2018-06-27T01:08:37Z
916,Michelle Electra Lee,"Hi Grab, you really need to lower down back your rate from RM 3 .Last time you start rising your rate thats because of the petrol went up, right.…See more Hi Grab, you really need to lower down back your rate from RM 3 .Last time you start rising your rate thats because of the petrol went up, right.…See more Hi Grab, you really need to lower down back your rate from RM 3 .Last time you start rising your rate thats because of the petrol went up, right. Hi Grab, you really need to lower down back your rate from RM 3 . Last time you start rising your rate thats because of the petrol went up, right. … · Like · ·",2018-06-27T10:35:41Z
917,Benelli Niz Setiawfii,Forget GRAB stay safe fill fast with MYCAR come get MYCAR apps.. Forget GRAB stay safe fill fast with MYCAR come get MYCAR apps.. Forget GRAB stay safe fill fast with MYCAR come get MYCAR apps.. 10 10  10 · Like · ·,2018-08-28T12:33:08Z
918,Mubarouk Mahzan,Grab ada  kwsp.. mycar ada??? Tnya je Grab ada  kwsp.. mycar ada??? Tnya je Grab ada  kwsp.. mycar ada??? Tnya je · Like · ·,2018-08-29T05:30:34Z
919,Muhamad Zohri,"Mubarouk Mahzan  yg penting perkeso, kwsp second option. Mubarouk Mahzan  yg penting perkeso, kwsp second option. Mubarouk Mahzan  yg penting perkeso, kwsp second option. · Like · ·",2018-08-29T13:06:12Z
920,Chyntya,hahaha dgr cerita mycar mau bankrup. operasi tutup oktober ni.. lol 🤣 hahaha dgr cerita mycar mau bankrup. operasi tutup oktober ni.. lol 🤣 hahaha dgr cerita mycar mau bankrup. operasi tutup oktober ni.. lol 🤣 🤣 🤣 1 1  1 · Like · ·,2018-08-29T15:07:41Z
921,Grab,"Author  Hi Mubarouk. As part of our Better365 initiative, we are partnering with the Employee’s Provident Fund (EPF) to help our driver-partners save for retirement. Please refer this link for more info. https://www.grab.com/.../driver/save-with-grab-programme/ Hi Mubarouk. As part of our Better365 initiative, we are partnering with the Employee’s Provident Fund (EPF) to help our driver-partners save for retirement. Please refer this link for more info. https://www.grab.com/.../driver/save-with-grab-programme/ Hi Mubarouk. As part of our Better365 initiative, we are partnering with the Employee’s Provident Fund (EPF) to help our driver-partners save for retirement. Please refer this link for more info. Save up for your retirement while driving with Grab | Grab MY  · Like · ·",2018-08-29T17:09:20Z
922,Muhamad Zohri,"Chyntya Ygcutelghotez  grab pun tutup lah, nak ke kena Kitai dengan penyangak sebab grab tak “securekan” pemandu & penumpang diaorg. Chyntya Ygcutelghotez  grab pun tutup lah, nak ke kena Kitai dengan penyangak sebab grab tak “securekan” pemandu & penumpang diaorg. Chyntya Ygcutelghotez  grab pun tutup lah, nak ke kena Kitai dengan penyangak sebab grab tak “securekan” pemandu & penumpang diaorg. · Like · ·",2018-08-29T19:04:09Z
923,Chyntya,"zohri, x tau pula psl tu. x ada khabar angin mau tutup.. mcm di sabah ni bulan 9 launch grab baru lg utk tourist chater grab ikut hour. zohri, x tau pula psl tu. x ada khabar angin mau tutup.. mcm di sabah ni bulan 9 launch grab baru lg utk tourist chater grab ikut hour. zohri, x tau pula psl tu. x ada khabar angin mau tutup.. mcm di sabah ni bulan 9 launch grab baru lg utk tourist chater grab ikut hour. · Like · ·",2018-08-30T03:26:07Z
924,Faizal Misrie,"Mbok la epf. Tdk paya grab pun, boleh carum sndiri. Grab tdk ada buat pnambahan pun utk caruman. Ini hnya teknik grab, kononnya mereka ne benar2 mbantu. Hnya org bodoh spt Mubarouk Mahzan saja, tdk mahu blajar. Bcakap mgunakan hujah, Mbok la epf. Tdk paya grab pun, boleh carum sndiri. Grab tdk ada buat pnambahan pun utk caruman. Ini hnya teknik grab, kononnya mereka ne benar2 mbantu. Hnya org bodoh spt Mubarouk Mahzan saja, tdk mahu blajar. Bcakap mgunakan hujah, Mbok la epf. Tdk paya grab pun, boleh carum sndiri. Grab tdk ada buat pnambahan pun utk caruman. Ini hnya teknik grab, kononnya mereka ne benar2 mbantu. Hnya org bodoh spt Mubarouk Mahzan saja, tdk mahu blajar. Bcakap mgunakan hujah, · Like · ·",2018-09-09T11:01:15Z
925,Jamil Bin Abu,Grab is crap.. Layan driver mcm hamba Grab is crap.. Layan driver mcm hamba Grab is crap.. Layan driver mcm hamba · Like · ·,2018-09-27T14:09:26Z
926,Rdanial Rosman,Rm1.00 for 1km..100km then u can get rm100.00..so how to get 3k?4k in a month? Hahaha...running your engine to 3000km 4000km lol. Rm1.00 for 1km..100km then u can get rm100.00..so how to get 3k?4k in a month? Hahaha...running your engine to 3000km 4000km lol. Rm1.00 for 1km..100km then u can get rm100.00..so how to get 3k?4k in a month? Hahaha...running your engine to 3000km 4000km lol. · Like · ·,2018-09-06T17:11:55Z
927,Mike Zakwan,Hi @grab I just got suspended by Grab for 3 months because I cancelled 23 jobs out of 120 jobs I've done last week... Grab suspended me without notice and even warning..  It's sad because I've got family to feed... The reason I canceled job is because …See more Hi @grab I just got suspended by Grab for 3 months because I cancelled 23 jobs out of 120 jobs I've done last week... Grab suspended me without notice and even warning..  It's sad because I've got family to feed... The reason I canceled job is because …See more Hi @grab I just got suspended by Grab for 3 months because I cancelled 23 jobs out of 120 jobs I've done last week... Grab suspended me without notice and even warning..  It's sad because I've got family to feed... The reason I canceled job is because Hi @grab I just got suspended by Grab for 3 months because I cancelled 23 jobs out of 120 jobs I've done last week... Grab suspended me without notice and even warning..  It's sad because I've got family to feed... The reason I canceled job is because … · Like · ·,2018-09-13T11:06:34Z
928,Izzeran Shah,lesen P boleh apply x? lesen P boleh apply x? lesen P boleh apply x? · Like · ·,2018-09-05T03:50:22Z
929,Maulana Ibrahim,Grab komunis. Grab komunis. Grab komunis. · Like · ·,2018-09-29T05:34:18Z
930,YC Chen,Had a very disappointing experience with Grab. It stated clearly in the lost and found policy that passenger can contact driver directly within 12 hours of the trip by pressing the button provided in the historical record. I left behind an item in the …See more Had a very disappointing experience with Grab. It stated clearly in the lost and found policy that passenger can contact driver directly within 12 hours of the trip by pressing the button provided in the historical record. I left behind an item in the …See more Had a very disappointing experience with Grab. It stated clearly in the lost and found policy that passenger can contact driver directly within 12 hours of the trip by pressing the button provided in the historical record. I left behind an item in the Had a very disappointing experience with Grab. It stated clearly in the lost and found policy that passenger can contact driver directly within 12 hours of the trip by pressing the button provided in the historical record. I left behind an item in the … · Like · ·,2018-09-19T02:26:26Z
931,Yr Kuan,Pls reply me ASAP I submit my report and email but no reply from your company I didn’t take the trip and waited like an idiot for 30 mins for the driver …See more Pls reply me ASAP I submit my report and email but no reply from your company I didn’t take the trip and waited like an idiot for 30 mins for the driver …See more Pls reply me ASAP I submit my report and email but no reply from your company I didn’t take the trip and waited like an idiot for 30 mins for the driver Pls reply me ASAP I submit my report and email but no reply from your company I didn’t take the trip and waited like an idiot for 30 mins for the driver … · Like · ·,2018-09-13T14:21:34Z
932,Mohamad Shafiq Sahat,Boleh x driver yang kena banned register baru guna kereta lain? Boleh x driver yang kena banned register baru guna kereta lain? Boleh x driver yang kena banned register baru guna kereta lain? · Like · ·,2018-09-05T06:59:07Z
933,Wong Shier Shien,Your grab credit is con game Your grab credit is con game Your grab credit is con game 4 4  4 · Like · ·,2018-08-28T12:19:21Z
934,James Jūdgês,Did you ever get con? Did you ever get con? Did you ever get con? · Like · ·,2018-08-31T19:57:37Z
935,Wong Shier Shien,James Jūdgês yes ! I top up ! And balance still got  RM10 cannot request another rode ! Grab ask to top up again only can request other ride ! So u can try then only come comments ya James Jūdgês yes ! I top up ! And balance still got  RM10 cannot request another rode ! Grab ask to top up again only can request other ride ! So u can try then only come comments ya James Jūdgês yes ! I top up ! And balance still got  RM10 cannot request another rode ! Grab ask to top up again only can request other ride ! So u can try then only come comments ya · Like · · ·,2018-09-01T01:16:43Z
936,Wong Shier Shien,"Grab , why you not even dare to reply my comments here ? Grab , why you not even dare to reply my comments here ? Grab , why you not even dare to reply my comments here ? · Like · ·",2018-09-01T01:21:04Z
937,Angelica Chay,I only top rm10. I used to buy tealive for 3x till my account left 5cents wor. I don't understand why cannot use. I only top rm10. I used to buy tealive for 3x till my account left 5cents wor. I don't understand why cannot use. I only top rm10. I used to buy tealive for 3x till my account left 5cents wor. I don't understand why cannot use. · Like · ·,2018-09-11T11:58:49Z
938,Jamil Bin Abu,Wong Shier Shien grab is crap.. Treat their driver also like shit.. Im done with grab Wong Shier Shien grab is crap.. Treat their driver also like shit.. Im done with grab Wong Shier Shien grab is crap.. Treat their driver also like shit.. Im done with grab · Like · ·,2018-09-27T14:10:26Z
939,Ricky Hoo,i seldom take Grab now >.< i seldom take Grab now >.< i seldom take Grab now >.< >.< >.< 3 3  3 · Like · ·,2018-08-28T04:01:09Z
940,James Jūdgês,Thank you but no one will concert about this. Who care anyway. Thank you but no one will concert about this. Who care anyway. Thank you but no one will concert about this. Who care anyway. 2 2  2 · Like · ·,2018-08-31T19:59:27Z
941,Sat Thapa,"Hi, check out the EzCab e-hailing App. Easy to book, safer to take. Download here: http://ezcab.com.my/index.php/share-with-your-friend/... Hi, check out the EzCab e-hailing App. Easy to book, safer to take. Download here: http://ezcab.com.my/index.php/share-with-your-friend/... Hi, check out the EzCab e-hailing App. Easy to book, safer to take. Download here: 5 5  5 · Like · ·",2018-08-27T12:24:54Z
942,Andi Mohd Tamrin Burhanuddin,Pm Pm Pm · Like · ·,2018-08-30T11:31:28Z
943,Ishak Bin Haji Mohammed,Boleh ke sebuah kereta. Di daftar dengan 2 orang pemandu Boleh ke sebuah kereta. Di daftar dengan 2 orang pemandu Boleh ke sebuah kereta. Di daftar dengan 2 orang pemandu · Like · ·,2018-08-30T10:49:47Z
944,Grab,"Author  Hi Ishak, yes! You are allow to. 😄 To sign up, please refer here: http://my.grabcar.com/signup/ . Hope this helps. Thank you! Hi Ishak, yes! You are allow to. 😄 To sign up, please refer here: http://my.grabcar.com/signup/ . Hope this helps. Thank you! Hi Ishak, yes! You are allow to. 😄 To sign up, please refer here: 😄 😄 . Hope this helps. Thank you! Drive For GrabCar  · Like · ·",2018-08-30T11:02:16Z
945,Rhys Noel,"admin, the discount of RM5 for local merchant, how many time can be used for such discount? admin, the discount of RM5 for local merchant, how many time can be used for such discount? admin, the discount of RM5 for local merchant, how many time can be used for such discount? · Like · ·",2018-09-04T03:48:00Z
946,Mohd Amal Tambi,Takde free lagi ke...adoi Takde free lagi ke...adoi Takde free lagi ke...adoi · Like · ·,2018-08-30T03:50:46Z
947,James Jūdgês,Ada..... Udara tu free lah.... Ada..... Udara tu free lah.... Ada..... Udara tu free lah.... · Like · ·,2018-08-31T20:00:06Z
948,Muhammad Nazri Bin Saiman,Ingin mencari Duit lebih dgn isabbella signature ( Perfume)  sila whstp sy 0183568348  yuran pendaftaran rm 10.00 sahaja seumur hidup dan terhad kepada pemandu grabcar sahaja di area KL & Selangor sahaja Terhad kpd 100 grabcar terawal...…See more Ingin mencari Duit lebih dgn isabbella signature ( Perfume)  sila whstp sy 0183568348  yuran pendaftaran rm 10.00 sahaja seumur hidup dan terhad kepada pemandu grabcar sahaja di area KL & Selangor sahaja Terhad kpd 100 grabcar terawal...…See more Ingin mencari Duit lebih dgn isabbella signature ( Perfume)  sila whstp sy 0183568348  yuran pendaftaran rm 10.00 sahaja seumur hidup dan terhad kepada pemandu grabcar sahaja di area KL & Selangor sahaja Terhad kpd 100 grabcar terawal... Ingin mencari Duit lebih dgn isabbella signature ( Perfume)  sila whstp sy 0183568348  yuran pendaftaran rm 10.00 sahaja seumur hidup dan terhad kepada pemandu grabcar sahaja di area KL & Selangor sahaja Terhad kpd 100 grabcar terawal... … · Like · ·,2018-08-29T10:58:44Z
949,Siew Mei,Was told by merchant there's rm5 discount but payment is still full fare. Was told by merchant there's rm5 discount but payment is still full fare. Was told by merchant there's rm5 discount but payment is still full fare. · Like · ·,2018-08-30T13:58:04Z
950,Grab,Author  Hi Siew! Kindly PM us with your contact number in order for us to assist you accordingly. Thank you. Hi Siew! Kindly PM us with your contact number in order for us to assist you accordingly. Thank you. Hi Siew! Kindly PM us with your contact number in order for us to assist you accordingly. Thank you. · Like · ·,2018-08-30T14:37:19Z
951,Deesya Vandelica,why is this my grabpay disable why is this my grabpay disable why is this my grabpay disable · Like · ·,2018-08-30T02:37:41Z
952,Grab,"Author  Hi Deesya, opps , we are really sorry about this. Also, we've noticed that you had already PM-ed us your concern  and it will be ironed out for you so that you may continue to use Grabpay once again. Thanks a bunch for supporting Grab. Hi Deesya, opps , we are really sorry about this. Also, we've noticed that you had already PM-ed us your concern  and it will be ironed out for you so that you may continue to use Grabpay once again. Thanks a bunch for supporting Grab. Hi Deesya, opps , we are really sorry about this. Also, we've noticed that you had already PM-ed us your concern  and it will be ironed out for you so that you may continue to use Grabpay once again. Thanks a bunch for supporting Grab. · Like · ·",2018-08-30T03:19:29Z
953,Nur Mashitah Mutmainnah,Why i didnt get the rm5 discount?that shop charge me original price Why i didnt get the rm5 discount?that shop charge me original price Why i didnt get the rm5 discount?that shop charge me original price 2 2  2 · Like · ·,2018-08-28T08:06:35Z
954,Grab,Author  Could you PM us with your contact number so we could have this looked into? Thank you. Could you PM us with your contact number so we could have this looked into? Thank you. Could you PM us with your contact number so we could have this looked into? Thank you. 1 1  1 · Like · ·,2018-08-28T17:27:06Z
955,Ahmad Fahmi,"I am about to use it in Ipoh. If this the case, not using it lor I am about to use it in Ipoh. If this the case, not using it lor I am about to use it in Ipoh. If this the case, not using it lor 1 1  1 · Like · ·",2018-08-29T08:36:24Z
956,Adam Kojuna,Kat sabah ada tak grabfood?? Kat sabah ada tak grabfood?? Kat sabah ada tak grabfood?? · Like · ·,2018-08-27T15:17:47Z
957,Grab,"Author  Hi Adam, we'd love to have our GrabFood services in Sabah as well 😍 We are working on expanding and will cover your area soon enough, your patience and support is appreciated. Thank you ☺ Hi Adam, we'd love to have our GrabFood services in Sabah as well 😍 We are working on expanding and will cover your area soon enough, your patience and support is appreciated. Thank you ☺ Hi Adam, we'd love to have our GrabFood services in Sabah as well 😍 We are working on expanding and will cover your area soon enough, your patience and support is appreciated. Thank you ☺ 😍 😍 ☺ ☺ · Like · ·",2018-08-27T15:29:07Z
958,Rienn MacTavish,click where? click where? click where? · Like · ·,2018-08-27T06:23:58Z
959,Grab,"Author  Hi Rienn, you may click on the 'Learn More' tab or here https://www.grab.com/my/mynewmalaysia/lovelocal/ ☺ Thank you. Hi Rienn, you may click on the 'Learn More' tab or here https://www.grab.com/my/mynewmalaysia/lovelocal/ ☺ Thank you. Hi Rienn, you may click on the 'Learn More' tab or here ☺ Thank you. ☺ ☺ LoveLocal | Grab MY  1 1  1 · Like · ·",2018-08-27T06:35:43Z
960,黄文,Grab hi tomorrow got promotion for celebrating squash women’s and can get discount RM18?? Grab hi tomorrow got promotion for celebrating squash women’s and can get discount RM18?? hi tomorrow got promotion for celebrating squash women’s and can get discount RM18?? · Like · ·,2018-08-27T09:55:57Z
961,Mazlan Lan,how to join grab driver?? how to join grab driver?? how to join grab driver?? · Like · ·,2018-08-27T10:01:20Z
962,Grab,"Author  Hi Mazlan, you can apply to be a GrabCar driver online via my.grabcar.com/signup/. From there, you will receive further instruction on what to do through your registered email. Thank you. Hi Mazlan, you can apply to be a GrabCar driver online via my.grabcar.com/signup/. From there, you will receive further instruction on what to do through your registered email. Thank you. Hi Mazlan, you can apply to be a GrabCar driver online via . From there, you will receive further instruction on what to do through your registered email. Thank you. Drive For GrabCar  · Like · ·",2018-08-27T10:19:26Z
963,Nick Lau,hahaha 做大儿仔 hahaha 做大儿仔 hahaha 做大儿仔 · Like · · ·,2018-08-27T14:01:15Z
964,Benelli Niz Setiawfii,Join mycar only 15% grab makan 25% Join mycar only 15% grab makan 25% Join mycar only 15% grab makan 25% 2 2  2 · Like · ·,2018-08-29T00:48:24Z
965,Faizal Misrie,Saya tdk galakkan anda buat grab Saya tdk galakkan anda buat grab Saya tdk galakkan anda buat grab · Like · ·,2018-09-09T00:47:28Z
966,Jamil Bin Abu,Dah drive grab ke blom? Ade rase jadi mcm hamba x? Dah drive grab ke blom? Ade rase jadi mcm hamba x? Dah drive grab ke blom? Ade rase jadi mcm hamba x? · Like · ·,2018-09-27T14:11:24Z
967,Huzaifah Mohd Yatim,"Daftar sebagai Pemandu Grab Di Hujung Jari Anda tanpa perlu ke Kiosk @ HQ. Kawasan KL, Selangor, Penang, Ipoh dan Negeri Sembilan sahaja. Kereta tahun 2008 masih diterima.WhatsApps direct: http://bit.ly/whatsappsayacepat… See more Daftar sebagai Pemandu Grab Di Hujung Jari Anda tanpa perlu ke Kiosk @ HQ. Kawasan KL, Selangor, Penang, Ipoh dan Negeri Sembilan sahaja. Kereta tahun 2008 masih diterima.WhatsApps direct: http://bit.ly/whatsappsayacepat… See more Daftar sebagai Pemandu Grab Di Hujung Jari Anda tanpa perlu ke Kiosk @ HQ. Kawasan KL, Selangor, Penang, Ipoh dan Negeri Sembilan sahaja. Kereta tahun 2008 masih diterima.WhatsApps direct: http://bit.ly/whatsappsayacepat Daftar sebagai Pemandu Grab Di Hujung Jari Anda tanpa perlu ke Kiosk @ HQ. Kawasan KL, Selangor, Penang, Ipoh dan Negeri Sembilan sahaja. Kereta tahun 2008 masih diterima. WhatsApps direct: …  · Like · ·",2018-09-27T16:36:31Z
968,黄文,hi tomorrow got promotion for celebrating squash women’s and can get discount RM18?? hi tomorrow got promotion for celebrating squash women’s and can get discount RM18?? hi tomorrow got promotion for celebrating squash women’s and can get discount RM18?? · Like · ·,2018-08-27T09:55:51Z
969,Grab,"Author  Hi there, greetings from Grab.  Please note that you will be able to use the promo code ""ASIANGAMES18"" for your GrabFood order, from now till 8.00p.m.. We hope this clarifies and thank you for supporting Grab. Hi there, greetings from Grab.  Please note that you will be able to use the promo code ""ASIANGAMES18"" for your GrabFood order, from now till 8.00p.m.. We hope this clarifies and thank you for supporting Grab. Hi there, greetings from Grab.  Please note that you will be able to use the promo code ""ASIANGAMES18"" for your GrabFood order, from now till 8.00p.m.. We hope this clarifies and thank you for supporting Grab. 1 1  1 · Like · ·",2018-08-27T10:01:35Z
970,黄文,Grab why invalid promotion code?? Grab why invalid promotion code?? why invalid promotion code?? · Like · ·,2018-08-27T10:03:17Z
971,黄文,Grab sad.. can’t redeem already Grab sad.. can’t redeem already sad.. can’t redeem already · Like · ·,2018-08-27T10:06:03Z
972,Grab,"Author  The code is valid to 1,000 redemption daily, you may try again tomorrow. The code is valid to 1,000 redemption daily, you may try again tomorrow. The code is valid to 1,000 redemption daily, you may try again tomorrow. 1 1  1 · Like · ·",2018-08-27T10:20:34Z
